template_id,template_name,category,source_alerts,source_type,spl_template,parameters,common_logic_summary,variation_summary
TPL-0219,Windows Audit Logging Being Tempered With (variant 4),defense_evasion,"[""0106_Windows_Audit Logging Being Tempered With"", ""[Brillink] 0106_Windows_Audit Logging Being Tempered With"", ""[tw47707]0106_Windows Audit Logging Being Tempered With""]",saved_alert | index-scoped/mixed,index = {{index}} source = {{source}} | eval {{value}} = message | search (event_code = {{event_code}} or event_code = {{event_code}}) | eval {{value}} = {{value}} | eval {{value}} = {{value}},"{""event_code"": {""default"": ""1102"", ""distinct_count"": 2, ""examples"": [""1102"", ""1100""]}, ""index"": {""default"": ""tw41241"", ""distinct_count"": 3, ""examples"": [""tw41241"", ""*91624*win*"", ""tw47707*""]}, ""source"": {""default"": ""XmlWinEventLog:Security"", ""distinct_count"": 2, ""examples"": [""XmlWinEventLog:Security"", ""WinEventLog:Security""]}, ""source_alert_metadata"": {""actions"": [""logevent"", ""lookup, script""], ""alert_count"": 3, ""alert_types"": [""number of events""], ""descriptions"": [""General Windows 0106 Rule"", ""(none)""], ""descriptions_available"": 1, ""enabled_states"": [false, true], ""schedules"": [""*/60 * * * *"", ""0-59/15 * * * *"", ""*/10 * * * *""], ""severities"": [2, 3]}, ""value"": {""default"": ""index"", ""distinct_count"": 4, ""examples"": [""index"", ""strftime"", ""GID."", ""search.""]}}",selects events from parameterized index/source-type scope; matches one or more event-code values.,index values differ (3 distinct); event_code values differ (2 distinct); schedules differ (3 distinct); severities differ (2 distinct); enabled and disabled variants are both present.
TPL-0220,Windows Audit Logging Being Tempered With (variant 5),defense_evasion,"[""[HopLun] 0122_Windows Audit Logging Being Tempered With"", ""[Link Asset] 0122_Windows Audit Logging Being Tempered With"", ""[Wilson Group] 0122_Windows Audit Logging Being Tempered With""]",saved_alert | index-scoped/mixed,index = {{index}} event_code = {{event_code}} | eval ip=host | eval {{value}} = message | eval {{value}} = {{value}} | eval {{value}} = {{value}} | eval {{value}} = name,"{""event_code"": {""default"": ""1102"", ""distinct_count"": 1, ""examples"": [""1102""]}, ""index"": {""default"": ""g49936*win"", ""distinct_count"": 3, ""examples"": [""g49936*win"", ""g46347_windows"", ""g50057_win""]}, ""source_alert_metadata"": {""actions"": [""logevent""], ""alert_count"": 3, ""alert_types"": [""number of events""], ""descriptions"": [""(none)""], ""descriptions_available"": 0, ""enabled_states"": [false, true], ""schedules"": [""*/15 * * * *""], ""severities"": [4]}, ""value"": {""default"": ""strftime"", ""distinct_count"": 5, ""examples"": [""strftime"", ""GID."", ""-"", ""host"", ""Computer""]}}",selects events from parameterized index/source-type scope; matches one or more event-code values.,index values differ (3 distinct); enabled and disabled variants are both present.
TPL-0221,Windows Audit Logging Being Tempered With (variant 6),defense_evasion,"[""[CDS] 0122_Windows Audit Logging Being Tempered With"", ""[LinkSG] 0122_Windows Audit Logging Being Tempered With""]",saved_alert | index-scoped/mixed,index = {{index}} event_code = {{event_code}} | eval ip=host | eval {{value}} = message | eval {{value}} = {{value}} | eval {{value}} = {{value}},"{""event_code"": {""default"": ""1102"", ""distinct_count"": 1, ""examples"": [""1102""]}, ""index"": {""default"": ""cds_win"", ""distinct_count"": 2, ""examples"": [""cds_win"", ""g46347sg_windows""]}, ""source_alert_metadata"": {""actions"": [""logevent""], ""alert_count"": 2, ""alert_types"": [""number of events""], ""descriptions"": [""(none)""], ""descriptions_available"": 0, ""enabled_states"": [true], ""schedules"": [""*/15 * * * *""], ""severities"": [4]}, ""value"": {""default"": ""host"", ""distinct_count"": 5, ""examples"": [""host"", ""strftime"", ""GID."", ""SG"", ""SG46347""]}}",selects events from parameterized index/source-type scope; matches one or more event-code values.,index values differ (2 distinct).
TPL-0222,Windows Audit Logging Being Tempered With (variant 7),defense_evasion,"[""[Haitong] 0106_Windows Audit Logging Being Tempered With"", ""[Tahoe] 0106_Windows Audit Logging Being Tempered With""]",saved_alert | index-scoped/mixed,"index = {{index}} event_code = {{event_code}} | eval ip=host | lookup splunk_tahoe_hostname.csv ip output {{host_field}} | eval host=if(isnull({{host_field}}), host, {{host_field}}) | eval {{value}} = message | eval {{value}} = {{value}} | eval {{value}} = {{value}}","{""event_code"": {""default"": ""1102"", ""distinct_count"": 1, ""examples"": [""1102""]}, ""host_field"": {""default"": ""host"", ""distinct_count"": 3, ""examples"": [""host"", ""Hostname"", ""Host""]}, ""index"": {""default"": ""*48113*"", ""distinct_count"": 2, ""examples"": [""*48113*"", ""g46974_win""]}, ""source_alert_metadata"": {""actions"": [""logevent""], ""alert_count"": 2, ""alert_types"": [""number of events""], ""descriptions"": [""(none)""], ""descriptions_available"": 0, ""enabled_states"": [false, true], ""schedules"": [""*/60 * * * *""], ""severities"": [2]}, ""value"": {""default"": ""host"", ""distinct_count"": 4, ""examples"": [""host"", ""if"", ""strftime"", ""GID.""]}}",selects events from parameterized index/source-type scope; checks a lookup/allowlist or suppresses known exceptions; matches one or more event-code values.,index values differ (2 distinct); enabled and disabled variants are both present.
TPL-0223,Windows Registry Change Detected (variant 1),defense_evasion,"[""[IA] 9981_Windows Registry Change Detected"", ""[IA] 9981_Windows Registry Change Detected *""]",saved_alert | sourcetype=XmlWinEventLog,"index = {{index}} sourcetype = {{sourcetype}} event_code = {{event_code}} | eval action=case(operationtype={{value}}, {{value}}, operationtype={{value}}, {{value}}, operationtype={{value}}, {{value}}) | eval oldvaluetype=case(oldvaluetype={{value}}, {{value}}, oldvaluetype={{value}}, {{value}}, oldvaluetype={{value}}, {{value}}, oldvaluetype={{value}}, {{value}}, oldvaluetype={{value}}, {{value}}, oldvaluetype={{value}}, {{value}}, oldvaluetype={{value}}, {{value}}, 1=1, oldvaluetype) | eval newvaluetype=case(newvaluetype={{value}}, {{value}}, newvaluetype={{value}}, {{value}}, newvaluetype={{value}}, {{value}}, newvaluetype={{value}}, {{value}}, newvaluetype={{value}}, {{value}}, newvaluetype={{value}}, {{value}}, newvaluetype={{value}}, {{value}}, 1=1, newvaluetype) | rename {{username_field}} as {{username_field}}, objectname as registry | eval {{value}} = if(oldvaluetype=newvaluetype, {{value}}, {{value}}) | search match={{value}} | eval {{value}} = {{value}} | eval {{value}} = {{host_field}} | eval {{value}} = {{username_field}} | eval {{value}} = registry | eval {{value}} = oldvaluetype | eval {{value}} = oldvalue | eval {{value}} = newvaluetype | eval {{value}} = newvalue | eval {{value}} = {{value}} | eval {{value}} = {{value}}","{""event_code"": {""default"": ""4657"", ""distinct_count"": 1, ""examples"": [""4657""]}, ""host_field"": {""default"": ""host"", ""distinct_count"": 2, ""examples"": [""host"", ""Computer""]}, ""index"": {""default"": ""g49425_win"", ""distinct_count"": 2, ""examples"": [""g49425_win"", ""federated:g49425_win""]}, ""source_alert_metadata"": {""actions"": [""logevent""], ""alert_count"": 2, ""alert_types"": [""number of events""], ""descriptions"": [""(none)"", ""Cloud migration""], ""descriptions_available"": 1, ""enabled_states"": [false, true], ""schedules"": [""*/15 * * * *""], ""severities"": [2]}, ""sourcetype"": {""default"": ""XmlWinEventLog"", ""distinct_count"": 1, ""examples"": [""XmlWinEventLog""]}, ""username_field"": {""default"": ""SubjectUserName"", ""distinct_count"": 2, ""examples"": [""SubjectUserName"", ""UserName""]}, ""value"": {""default"": ""case"", ""distinct_count"": 6, ""examples"": [""case"", ""%%1904"", ""%%1905"", ""%%1906"", ""%%1872"", ""%%1873""]}}",selects events from parameterized index/source-type scope; matches one or more event-code values.,index values differ (2 distinct); enabled and disabled variants are both present.
TPL-0224,Aad Identity Protection Info Severity Alert,execution_and_process,"[""[Jebsen] 0050_AAD Identity Protection Info Severity Alert"", ""[Jebsen] 0051_AAD Identity Protection Low Severity Alert"", ""[Jebsen] 0052_AAD Identity Protection Medium Severity Alert""]",saved_alert | sourcetype=ms365:defender:incident:alerts,"index = {{index}} sourcetype = {{sourcetype}} servicesource=*aad* severity={{value}} status={{value}} | eval firstactivity_hkt=strftime(strptime(firstactivity, {{value}}) + (8*3600), {{value}}) | dedup incidentid | eval {{value}} = incidentid | eval {{value}} = incidenturi | eval {{value}} = {{value}} | eval {{value}} = {{value}} | eval {{value}} = {{value}} | eval {{value}} = firstactivity_hkt | eval {{value}} = description | eval {{value}} = severity | eval {{value}} = status","{""index"": {""default"": ""g49770_m365"", ""distinct_count"": 1, ""examples"": [""g49770_m365""]}, ""source_alert_metadata"": {""actions"": [""logevent""], ""alert_count"": 3, ""alert_types"": [""number of events""], ""descriptions"": [""(none)""], ""descriptions_available"": 0, ""enabled_states"": [true], ""schedules"": [""*/15 * * * *""], ""severities"": [1, 2, 3]}, ""sourcetype"": {""default"": ""ms365:defender:incident:alerts"", ""distinct_count"": 1, ""examples"": [""ms365:defender:incident:alerts""]}, ""value"": {""default"": ""*AAD*"", ""distinct_count"": 6, ""examples"": [""*AAD*"", ""Informational"", ""New"", ""strftime"", ""GID."", ""Low""]}}",selects events from parameterized index/source-type scope.,severities differ (3 distinct).
TPL-0225,Abnormal Lolbin Usage Detected,execution_and_process,"[""[FSE] 3898_Abnormal LOLbin Usage Detected"", ""[HKCEC] 1202_Abnormal LOLbin Usage Detected"", ""[KTSP test] 1202_Abnormal LOLbin Usage Detected""]",saved_alert | index-scoped/mixed,index = {{index}} | search not {{username_field}} in ({{value_set}}) not parentprocessname in ({{value_set}}) | search event_code = {{event_code}} | search [| inputlookup lolbas_v20250811.csv | fields filename | rename filename as newprocessname ] | search not parentprocessname in ({{value_set}}) | search not newprocessname in ({{value_set}}) | search not commandline in ({{value_set}}) | eval {{value}} = event_code | eval {{value}} = subjectusersid | eval {{value}} = {{username_field}} | eval {{value}} = newprocessname | eval {{value}} = parentprocessname,"{""event_code"": {""default"": ""4688"", ""distinct_count"": 1, ""examples"": [""4688""]}, ""index"": {""default"": ""g50668_win"", ""distinct_count"": 3, ""examples"": [""g50668_win"", ""g50238_win"", ""g50095_windows""]}, ""source_alert_metadata"": {""actions"": [""logevent""], ""alert_count"": 3, ""alert_types"": [""number of events""], ""descriptions"": [""Living off the land binaries (LOLbins) are legitimate tools that attackers often misuse to carry out malicious activities on a system. This search identifies unusual usage patterns of these binaries, which could indicate potential exploitation or unauthorized actions."", ""(none)""], ""descriptions_available"": 1, ""enabled_states"": [false, true], ""schedules"": [""*/15 * * * *"", ""3-59/15 * * * *""], ""severities"": [2, 4]}, ""username_field"": {""default"": ""SubjectUserName"", ""distinct_count"": 2, ""examples"": [""SubjectUserName"", ""Account Name""]}, ""value"": {""default"": ""strftime"", ""distinct_count"": 2, ""examples"": [""strftime"", ""GID.""]}}",selects events from parameterized index/source-type scope; checks a lookup/allowlist or suppresses known exceptions; matches one or more event-code values.,index values differ (3 distinct); schedules differ (2 distinct); severities differ (2 distinct); enabled and disabled variants are both present.
TPL-0226,Active Phishing Site Hosting,execution_and_process,"[""[FSE Aiden Chan] 0864_Active Phishing Site Hosting"", ""[FSE Tommy Chan] 0864_Active Phishing Site Hosting"", ""[FSE] 0864_Active Phishing Site Hosting""]",saved_alert | index-scoped/mixed,"index = {{index}} status={{value}} category={{value}} title={{value}} | stats count by created_date, targeted_brands{}, alert_data.url, title, alert_data.detection_reasons{}, ref_id, host, related_assets{}.name, severity, description | search not [| search index = {{index}} ticketnumber={{value}}*0864 earliest={{earliest}} | stats count by reference_id | rename reference_id as ref_id | table ref_id] | eval epoch_utc=strptime(created_date,{{value}}) | eval epoch_cst=epoch_utc+8*60*60 | eval new_time=strftime(epoch_cst,{{value}}) | eval {{value}} = {{value}} | eval {{value}} = {{value}} | eval {{value}} = {{value}} | eval {{value}} = ref_id | eval {{value}} = host | eval {{value}} = {{value}} | eval {{value}} = severity | eval {{value}} = description | eval {{value}} = {{value}} | eval {{value}} = {{value}}","{""index"": {""default"": ""g50668_argos"", ""distinct_count"": 2, ""examples"": [""g50668_argos"", ""ticket_summary""]}, ""source_alert_metadata"": {""actions"": [""logevent""], ""alert_count"": 3, ""alert_types"": [""number of events""], ""descriptions"": [""(none)""], ""descriptions_available"": 0, ""enabled_states"": [true], ""schedules"": [""*/15 * * * *""], ""severities"": [5]}, ""value"": {""default"": ""open"", ""distinct_count"": 6, ""examples"": [""open"", ""phishing"", ""Active Phishing Website Targeting Company"", ""90668*0864"", ""-30m"", ""strftime""]}}",selects events from parameterized index/source-type scope; aggregates events by detection entities; applies a threshold or condition before alerting.,index values differ (2 distinct).
TPL-0227,Application Shimming Process,execution_and_process,"[""[T1138] Application Shimming - Process"", ""[T1223] Compiled HTML File""]",saved_alert | index-scoped/mixed,{{macro:indextime}} (({{macro:sysmon}} event_code = {{event_code}}) or ({{macro:windows_security}} event_code = {{event_code}})) {{process_field}}={{value}} | eval hash_sha256= lower(hash_sha256) | {{macro:process_create_whitelist}} | convert ctime(indextime),"{""event_code"": {""default"": ""1"", ""distinct_count"": 2, ""examples"": [""1"", ""4688""]}, ""macro"": {""default"": ""indextime"", ""distinct_count"": 5, ""examples"": [""indextime"", ""sysmon"", ""windows-security"", ""process_create_whitelist"", ""threathunting_index""]}, ""process_field"": {""default"": ""process_name"", ""distinct_count"": 1, ""examples"": [""process_name""]}, ""source_alert_metadata"": {""actions"": [""(none)""], ""alert_count"": 2, ""alert_types"": [""always""], ""descriptions"": [""(none)""], ""descriptions_available"": 0, ""enabled_states"": [true], ""schedules"": [""5-59/15 * * * *"", ""3-59/15 * * * *""], ""severities"": [3]}, ""value"": {""default"": ""sdbinst.exe"", ""distinct_count"": 6, ""examples"": [""sdbinst.exe"", ""Persistence,Privilege_Escalation"", ""Application Shimming"", ""T1138"", ""lower"", ""_indextime""]}}",selects events from parameterized index/source-type scope; matches one or more event-code values.,event_code values differ (2 distinct); schedules differ (2 distinct).
TPL-0228,Aws Guardduty Low Severity Event Detected,execution_and_process,"[""[Cathay Bank] 5001_AWS GuardDuty Low Severity Event Detected"", ""[Cathay Bank] 5002_AWS GuardDuty Medium Severity Event Detected"", ""[Cathay Bank] 5003_AWS GuardDuty High Severity Event Detected"", ""[Cathay Bank] 5026_AWS GuardDuty Critical Severity Event Detected""]",saved_alert | index-scoped/mixed,"index = {{index}} (severity_id >={{value}} and severity_id <={{value}}) or (detail.severity >={{value}} and detail.severity <={{value}}) | rename detail.title as detailtitle, detail.description as detaildescription, detail.type as detailtype | eval {{value}} = if(isnull(accountid),account,accountid) | eval {{value}} = if(isnull(detaildescription),description,detaildescription) | rename id as {{value}} | eval {{value}} = if(isnull(detailtype), findingtype,detailtype) | rename action as event_action | fillnull value={{value}}","{""index"": {""default"": ""federated:g50113_guardduty"", ""distinct_count"": 1, ""examples"": [""federated:g50113_guardduty""]}, ""source_alert_metadata"": {""actions"": [""logevent""], ""alert_count"": 4, ""alert_types"": [""number of events""], ""descriptions"": [""(none)""], ""descriptions_available"": 0, ""enabled_states"": [true], ""schedules"": [""*/15 * * * *""], ""severities"": [2, 3, 4, 5]}, ""value"": {""default"": ""strftime"", ""distinct_count"": 3, ""examples"": [""strftime"", ""GID."", ""N/A""]}}",selects events from parameterized index/source-type scope.,severities differ (4 distinct).
TPL-0229,Aws Rds Create/Delete User Detected,execution_and_process,"[""[HKBitEx] 6701_AWS RDS Create/Delete User Detected"", ""[HKBitEx] 6702_AWS RDS Drop User Detected"", ""[HKBitEx] 6704_AWS RDS Alter User Detected"", ""[HKBitEx] 6705_AWS RDS Revoke User Detected""]",saved_alert | sourcetype=aws:cloudwatchlogs:rds,"index = {{index}} sourcetype = {{sourcetype}} | regex _raw={{value}} | rex field=_raw {{value}} | eval {{username_field}}=lower({{username_field}}), src_host=lower(src_host) | stats min(_time) as firstseen max(_time) as lastseen count as attempts by {{username_field}}, src_host | where attempts > {{value}} | eval description={{value}} | eval title={{value}} | eval region=coalesce(region,{{value}}) | eval accountid=coalesce(accountid,{{value}}) | eval arn=coalesce(arn,{{value}}) | eval resource_type={{value}} | eval type={{value}} | eval evasion_technique={{value}} | eval {{value}}=description | eval {{value}}=title | eval {{value}}=region | eval {{value}}=arn | eval {{value}}=resource_type | eval {{value}}=type | eval {{value}}=evasion_technique | sort - {{value}}","{""index"": {""default"": ""hkbitex_rds"", ""distinct_count"": 1, ""examples"": [""hkbitex_rds""]}, ""source_alert_metadata"": {""actions"": [""logevent""], ""alert_count"": 4, ""alert_types"": [""number of events""], ""descriptions"": [""(none)""], ""descriptions_available"": 0, ""enabled_states"": [true], ""schedules"": [""4,34 * * * *""], ""severities"": [2, 4]}, ""sourcetype"": {""default"": ""aws:cloudwatchlogs:rds"", ""distinct_count"": 1, ""examples"": [""aws:cloudwatchlogs:rds""]}, ""username_field"": {""default"": ""user"", ""distinct_count"": 3, ""examples"": [""user"", ""User"", ""USER""]}, ""value"": {""default"": ""(?i)(create|delete|drop)\\s+user"", ""distinct_count"": 6, ""examples"": [""(?i)(create|delete|drop)\\s+user"", ""_raw"", ""lower"", ""RDS user account created or deleted, possible unauthorized identity-management change"", ""AWS RDS Create/Delete User Detected"", ""coalesce""]}}",selects events from parameterized index/source-type scope; aggregates events by detection entities; extracts or normalizes fields from raw/structured data; applies a threshold or condition before alerting.,severities differ (2 distinct).
TPL-0230,Aws Security Hub High Severity Event Detected,execution_and_process,"[""[Cathay Bank] 5005_AWS Security Hub High Severity Event Detected"", ""[Cathay Bank] 5006_AWS Security Hub Critical Severity Event Detected""]",saved_alert | index-scoped/mixed,"index = {{index}} severity.label={{value}} not(workflow.status={{value}}) | rename types{} as types | rename vulnerabilities{}.referenceurls{} as referenceurls | rename productfields.recommendationurl as recommendationurl | eval {{value}} = {{value}} + title | eval title=if(types= {{value}}, cve_title, title) | eval {{value}} = {{value}} + description | eval description=if(types= {{value}}, cve_description, description) | eval recommendationurl=if(types= {{value}}, referenceurls , recommendationurl) | rename resources{}.id as {{value}} | rename title as {{value}} | rename types as {{value}} | rename description as {{value}} | rename id as {{value}} | rename awsaccountid as {{value}} | rename resources{}.type as {{value}} | rename compliance.associatedstandards{}.standardsid as {{value}} | rename compliance.securitycontrolid as {{value}} | rename compliance.status as {{value}} | rename recommendationurl as {{value}} | fillnull value={{value}}","{""index"": {""default"": ""federated:g50113_securityhub"", ""distinct_count"": 1, ""examples"": [""federated:g50113_securityhub""]}, ""source_alert_metadata"": {""actions"": [""logevent""], ""alert_count"": 2, ""alert_types"": [""number of events""], ""descriptions"": [""(none)""], ""descriptions_available"": 0, ""enabled_states"": [true], ""schedules"": [""*/15 * * * *""], ""severities"": [4, 5]}, ""value"": {""default"": ""HIGH"", ""distinct_count"": 6, ""examples"": [""HIGH"", ""SUPPRESSED"", ""if"", ""Software and Configuration Checks/Vulnerabilities/CVE"", ""strftime"", ""GID.""]}}",selects events from parameterized index/source-type scope.,severities differ (2 distinct).
TPL-0231,Checkpoint Critical Attack And Not Blocked,execution_and_process,"[""[Jebsen] 0630_CheckPoint Critical Attack and not Blocked"", ""[Link Asset] 0630_CheckPoint Critical Attack and not Blocked"", ""[Link Asset] 0636_CheckPoint Critical Attack and not Blocked""]",saved_alert | sourcetype=cp_log,"index = {{index}} sourcetype = {{sourcetype}} and product in ({{value_set}}) and confidence_level in ({{value_set}}) and severity in ({{value_set}}) and action={{value}} or action={{value}} | search host={{ip_value}} or host={{ip_value}} | search (not src={{value}} and not src={{value}} and not src={{value}}) or (not dst={{value}} and not dst={{value}} and not dst={{value}}) | search (not src={{value}} and not src={{value}} and not src={{value}}) | eval src_ip01=coalesce(src, origin) | eval {{value}} = action | eval {{value}}=signature | eval {{value}}=category | eval {{value}}=file_sha256 | eval {{value}} = severity | eval {{value}} = verdict | eval {{value}} = replace(resource, {{value}}, {{value}}) | eval {{value}} = confidence_level | eval {{value}} = description","{""index"": {""default"": ""g49770"", ""distinct_count"": 2, ""examples"": [""g49770"", ""g46347_cp""]}, ""source_alert_metadata"": {""actions"": [""logevent""], ""alert_count"": 3, ""alert_types"": [""number of events""], ""descriptions"": [""(none)"", ""Enhancement Plan"", ""Enhancement Plan_v2""], ""descriptions_available"": 2, ""enabled_states"": [false, true], ""schedules"": [""*/05 * * * *""], ""severities"": [5]}, ""sourcetype"": {""default"": ""cp_log"", ""distinct_count"": 1, ""examples"": [""cp_log""]}, ""value"": {""default"": ""Detect"", ""distinct_count"": 6, ""examples"": [""Detect"", ""Accept"", ""10.10.5.210"", ""10.10.5.209"", ""10.0.0.0/8"", ""172.16.0.0/12""]}}",selects events from parameterized index/source-type scope.,index values differ (2 distinct); enabled and disabled variants are both present.
TPL-0232,Checkpoint Threat Emulation Detection (variant 1),execution_and_process,"[""[Link Asset] 0534_CheckPoint Threat Emulation Detection"", ""[Link Asset] 0538_CheckPoint Threat Emulation Detection"", ""[Link Asset] 0639_CheckPoint Critical Attack and not Blocked_Threat Emulation""]",saved_alert | sourcetype=cp_log,"index = {{index}} sourcetype = {{sourcetype}} product={{value}} | eval proxy_src_ip=if(isnull(proxy_src_ip), src, proxy_src_ip) | stats values(_time) as _time values(src) as src values(dst) as dst values(severity) as severity values(confidence_level) as confidence_level values(action) as action values(host) as host values(category) as category values(file_name) as file_name values(file_hash) as file_hash values(resource) as resource values(verdict) as verdict values(proxy_src_ip) as proxy_src_ip by loguid | where isnotnull(severity) and isnotnull(confidence_level) and isnotnull(src) | search severity={{value}} and (confidence_level={{value}} or confidence_level={{value}}) | search action!={{value}} or action!={{value}} or action!={{value}} | search verdict!={{value}} | search not proxy_src_ip in ({{value_set}}) and not (proxy_src_ip in ({{value_set}}) and ((date_wday={{value}} and date_hour>={{value}}) or (date_wday={{value}} and date_hour<{{value}}))) | eval {{value}} = src | eval {{value}} = action | eval {{value}}=category | eval {{value}}=file_name | eval {{value}}=file_hash | eval {{value}} = severity | eval {{value}} = verdict | eval {{value}} = replace(resource, {{value}}, {{value}}) | eval {{value}} = confidence_level | eval {{value}} = description","{""index"": {""default"": ""g46347_cp"", ""distinct_count"": 1, ""examples"": [""g46347_cp""]}, ""source_alert_metadata"": {""actions"": [""logevent""], ""alert_count"": 3, ""alert_types"": [""number of events""], ""descriptions"": [""Enhancement Plan"", ""Enhancement Plan_v2""], ""descriptions_available"": 3, ""enabled_states"": [false], ""schedules"": [""*/15 * * * *"", ""*/05 * * * *""], ""severities"": [3, 4, 5]}, ""sourcetype"": {""default"": ""cp_log"", ""distinct_count"": 1, ""examples"": [""cp_log""]}, ""value"": {""default"": ""Threat Emulation"", ""distinct_count"": 6, ""examples"": [""Threat Emulation"", ""if"", ""Medium"", ""High"", ""Block"", ""Redirect""]}}",selects events from parameterized index/source-type scope; aggregates events by detection entities; applies a threshold or condition before alerting.,schedules differ (2 distinct); severities differ (3 distinct).
TPL-0233,Checkpoint Threat Emulation Detection (variant 2),execution_and_process,"[""[Jebsen] 0534_CheckPoint Threat Emulation Detection"", ""[Jebsen] 0633_CheckPoint Critical Attack and not Blocked_Threat Emulation""]",saved_alert | sourcetype=cp_log,"index = {{index}} sourcetype = {{sourcetype}} product={{value}} | stats values(_time) as _time values(src) as src values(dst) as dst values(severity) as severity values(confidence_level) as confidence_level values(action) as action values(host) as host values(category) as category values(file_name) as file_name values(file_hash) as file_hash values(resource) as resource values(verdict) as verdict by loguid | where isnotnull(severity) and isnotnull(confidence_level) and isnotnull(src) | search severity={{value}} and confidence_level={{value}} | search action!={{value}} or action!={{value}} or action!={{value}} | search verdict!={{value}} | search resource not (*codown.youdao.com*, *sedl.360safe.com*) | search (not src={{value}} and not src={{value}} and not src={{value}}) or (not dst={{value}} and not dst={{value}} and not dst={{value}}) | search (not src={{value}} and not src={{value}} and not src={{value}}) | eval {{value}} = action | eval {{value}}=category | eval {{value}}=file_name | eval {{value}}=file_hash | eval {{value}} = severity | eval {{value}} = verdict | eval {{value}} = replace(resource, {{value}}, {{value}}) | eval {{value}} = confidence_level | eval {{value}} = description","{""index"": {""default"": ""g49770"", ""distinct_count"": 1, ""examples"": [""g49770""]}, ""source_alert_metadata"": {""actions"": [""logevent""], ""alert_count"": 2, ""alert_types"": [""number of events""], ""descriptions"": [""(none)""], ""descriptions_available"": 0, ""enabled_states"": [true], ""schedules"": [""*/15 * * * *"", ""*/05 * * * *""], ""severities"": [3, 5]}, ""sourcetype"": {""default"": ""cp_log"", ""distinct_count"": 1, ""examples"": [""cp_log""]}, ""value"": {""default"": ""Threat Emulation"", ""distinct_count"": 6, ""examples"": [""Threat Emulation"", ""Medium"", ""High"", ""Block"", ""Redirect"", ""Prevent""]}}",selects events from parameterized index/source-type scope; aggregates events by detection entities; applies a threshold or condition before alerting.,schedules differ (2 distinct); severities differ (2 distinct).
TPL-0234,Clear Command History,execution_and_process,"[""[T1146] Clear Command History"", ""[T1216] Signed Script Proxy Execution""]",saved_alert | index-scoped/mixed,{{macro:indextime}} (({{macro:sysmon}} event_code = {{event_code}}) or ({{macro:windows_security}} event_code = {{event_code}})) (process_command_line={{value}} or process_command_line={{value}} or process_command_line={{value}} or process_command_line={{value}}) | eval hash_sha256= lower(hash_sha256) | {{macro:process_create_whitelist}} | convert ctime(indextime),"{""event_code"": {""default"": ""1"", ""distinct_count"": 2, ""examples"": [""1"", ""4688""]}, ""macro"": {""default"": ""indextime"", ""distinct_count"": 5, ""examples"": [""indextime"", ""sysmon"", ""windows-security"", ""process_create_whitelist"", ""threathunting_index""]}, ""source_alert_metadata"": {""actions"": [""(none)""], ""alert_count"": 2, ""alert_types"": [""always""], ""descriptions"": [""(none)""], ""descriptions_available"": 0, ""enabled_states"": [true], ""schedules"": [""12-59/15 * * * *""], ""severities"": [3]}, ""value"": {""default"": ""*rm (Get-PSReadlineOption).HistorySavePath*"", ""distinct_count"": 6, ""examples"": [""*rm (Get-PSReadlineOption).HistorySavePath*"", ""*del (Get-PSReadlineOption).HistorySavePath*"", ""*Set-PSReadlineOption –HistorySaveStyle SaveNothing*"", ""*Remove-Item (Get-PSReadlineOption).HistorySavePath*"", ""Collection"", ""Console History""]}}",selects events from parameterized index/source-type scope; matches one or more event-code values.,event_code values differ (2 distinct).
TPL-0235,Console History,execution_and_process,"[""[T0000] Console History"", ""[T1081] Credentials in Files""]",saved_alert | index-scoped/mixed,{{macro:indextime}} (({{macro:sysmon}} event_code = {{event_code}}) or ({{macro:windows_security}} event_code = {{event_code}})) (process_command_line={{value}} or process_command_line={{value}} or process_command_line={{value}}) | eval hash_sha256= lower(hash_sha256) | {{macro:process_create_whitelist}} | convert ctime(indextime),"{""event_code"": {""default"": ""1"", ""distinct_count"": 2, ""examples"": [""1"", ""4688""]}, ""macro"": {""default"": ""indextime"", ""distinct_count"": 5, ""examples"": [""indextime"", ""sysmon"", ""windows-security"", ""process_create_whitelist"", ""threathunting_index""]}, ""source_alert_metadata"": {""actions"": [""(none)""], ""alert_count"": 2, ""alert_types"": [""always""], ""descriptions"": [""(none)""], ""descriptions_available"": 0, ""enabled_states"": [true], ""schedules"": [""9-59/15 * * * *"", ""11-59/15 * * * *""], ""severities"": [3]}, ""value"": {""default"": ""*Get-History*"", ""distinct_count"": 6, ""examples"": [""*Get-History*"", ""*AppData\\\\Roaming\\\\Microsoft\\\\Windows\\\\PowerShell\\\\PSReadline\\\\ConsoleHost_history.txt*"", ""*(Get-PSReadlineOption).HistorySavePath*"", ""Collection"", ""Console History"", ""T0000""]}}",selects events from parameterized index/source-type scope; matches one or more event-code values.,event_code values differ (2 distinct); schedules differ (2 distinct).
